code,disc_date,disc_time,disc_no,doc_type,per_type,fy_end,equity,np_forecast,shares_out
1808,2026-02-12,15:30:00,20260212555903,3QFinancialStatements_Consolidated_JP,3Q,2026-03-31,529158000000,58000000000,292479897
1808,2026-05-15,15:30:00,20260515536329,FYFinancialStatements_Consolidated_JP,FY,2026-03-31,563451000000,66000000000,292479897
1808,2026-08-06,15:30:00,20260806511254,1QFinancialStatements_Consolidated_JP,1Q,2027-03-31,570643000000,66000000000,292479897
1885,2016-11-11,16:00,20161028424023,2QFinancialStatements_Consolidated_JP,2Q,2017-03-31,72342000000,,22494629
1885,2016-11-11,16:00,20161109435077,EarnForecastRevision,FY,2017-03-31,,,
1885,2017-02-13,16:00,20170126481724,3QFinancialStatements_Consolidated_JP,3Q,2017-03-31,75543000000,,22494629
1885,2017-03-27,16:00,20170315420104,EarnForecastRevision,FY,2017-03-31,,-7200000000,
1885,2017-05-15,16:00,20170429455667,FYFinancialStatements_Consolidated_JP,FY,2017-03-31,64958000000,800000000,22494629
1885,2017-08-08,16:00,20170728441869,1QFinancialStatements_Consolidated_JP,1Q,2018-03-31,66394000000,800000000,22494629
1885,2017-11-06,16:00,20171102407438,EarnForecastRevision,2Q,2018-03-31,,,
1885,2017-11-10,16:00,20171026400162,2QFinancialStatements_Consolidated_JP,2Q,2018-03-31,67625000000,800000000,22494629
1885,2018-02-09,16:00,20180130459262,3QFinancialStatements_Consolidated_JP,3Q,2018-03-31,69086000000,800000000,22494629
1885,2018-03-22,16:00,20180130459379,EarnForecastRevision,FY,2018-03-31,,1750000000,
1885,2018-05-15,16:00:00,20180503427341,FYFinancialStatements_Consolidated_JP,FY,2018-03-31,67747000000,2000000000,22494629
1885,2018-08-08,16:00:00,20180801489549,1QFinancialStatements_Consolidated_JP,1Q,2019-03-31,68021000000,2000000000,22494629
1885,2018-11-05,16:00:00,20181105429556,EarnForecastRevision,2Q,2019-03-31,,,
1885,2018-11-12,16:00:00,20181101428635,2QFinancialStatements_Consolidated_JP,2Q,2019-03-31,68203000000,2000000000,22494629
1885,2019-02-13,16:00:00,20190204469747,3QFinancialStatements_Consolidated_JP,3Q,2019-03-31,68172000000,2000000000,22494629
1885,2019-03-18,16:00:00,20190316491564,EarnForecastRevision,FY,2019-03-31,,2600000000,
1885,2019-05-15,16:00:00,20190507414868,FYFinancialStatements_Consolidated_JP,FY,2019-03-31,68973000000,3900000000,22494629
